FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
37637	鹿崁尖	崁	62.37 	575.09 	510.09 	0.73 	7.32 	0.11 	126
12877	三百六崁	崁	63.14 	114.03 	519.67 	0.76 	129.34 	0.01 	128
36495	三崁店	崁	63.70 	31.96 	284.99 	6.77 	53.91 	0.01 	21
4969	二崁仔	崁	64.52 	12923.05 	238.07 	10.16 	141.54 	0.16 	136
5306	下崁腳	崁	64.58 	136.95 	333.82 	11.97 	154.01 	0.18 	33
6256	河底崁頭	崁	65.13 	1133.64 	198.07 	1.62 	25.99 	0.02 	32
13365	石崁腳	崁	66.27 	1877.21 	227.74 	5.04 	7.67 	0.16 	111
33394	崁仔腳	崁	68.23 	11046.57 	578.13 	20.38 	4.26 	0.01 	100
6350	南崁	崁	68.68 	949.44 	287.96 	3.07 	80.88 	0.04 	87
38604	崁子頭	崁	68.76 	1247.86 	949.93 	8.88 	451.45 	0.01 	78
32462	崁頭	崁	69.57 	47.78 	203.84 	10.41 	210.74 	0.35 	130
6751	崁仔腳、陳厝仔	崁	69.91 	103.53 	263.23 	3.87 	239.38 	0.06 	61
9233	崁仔腳	崁	70.40 	382.47 	260.25 	4.63 	6.86 	0.25 	28
38986	崁腳底	崁	70.99 	399.41 	552.90 	10.91 	28.08 	0.02 	27
22325	茄苓崁	崁	71.37 	64.83 	457.72 	1.11 	4.85 	0.04 	86
41831	茄苓崁	崁	71.37 	55.26 	342.23 	1.20 	127.36 	0.11 	86
15400	下崁	崁	72.40 	21.55 	714.54 	14.30 	121.50 	0.01 	188
10774	南崁後街	崁	73.56 	1699.85 	186.56 	0.52 	382.35 	0.01 	100
33374	三崁店	崁	74.28 	657.74 	566.04 	17.01 	49.89 	0.01 	80
35405	崁腳	崁	74.96 	23.05 	368.53 	4.81 	19.53 	0.02 	23
14383	西崁	崁	75.07 	397.95 	603.04 	13.16 	24.61 	0.44 	43
32426	下崁子	崁	75.17 	33.65 	397.56 	14.42 	339.93 	0.19 	96
4022	崁頭仔	崁	75.84 	351.16 	409.95 	0.74 	264.52 	0.01 	93
39243	長崁頭	崁	75.84 	81.02 	729.07 	0.75 	25.66 	0.01 	93
7313	崁腳	崁	76.07 	232.82 	352.57 	4.07 	24.66 	0.11 	96
34621	崁腳	崁	76.07 	52.01 	181.92 	0.46 	17.05 	0.02 	96
36696	崁頭屋	崁	76.21 	564.01 	573.76 	1.67 	380.61 	0.01 	26
35404	赤崁	崁	78.01 	59.36 	511.96 	13.48 	7.37 	0.15 	22
6409	崁下	崁	78.10 	5132.03 	268.32 	2.50 	75.27 	0.04 	91
26404	崁腳	崁	78.90 	52.12 	312.86 	12.00 	13.55 	0.02 	147
2657	崁仔腳	崁	80.66 	69.89 	340.86 	9.17 	325.54 	0.15 	21
33485	下崁仔	崁	81.69 	804.74 	231.72 	1.15 	23.65 	0.04 	94
23369	三崁店	崁	82.82 	174.90 	229.28 	2.36 	36.69 	0.03 	25
40564	下崁	崁	84.80 	6688.99 	316.26 	14.50 	13.90 	0.01 	264
26994	土崩崁	崁	84.87 	190.50 	393.31 	0.38 	151.96 	0.47 	144
33429	頭崩崁	崁	84.87 	170.37 	350.02 	2.22 	15.85 	0.02 	144
15402	下崁仔	崁	86.50 	2620.77 	214.58 	9.43 	650.51 	0.15 	214
3453	下崁	崁	87.87 	85.66 	293.02 	0.55 	8.79 	0.01 	106
12908	九崁頭	崁	88.89 	19.95 	380.69 	0.67 	80.20 	0.46 	110
37940	百二崁	崁	90.59 	68.45 	393.96 	22.83 	212.80 	0.22 	112
10775	南崁廟口	崁	92.34 	195.05 	376.52 	17.28 	192.42 	0.06 	83
25923	紅崁頭	崁	92.74 	408.73 	974.01 	0.57 	368.20 	0.18 	21
5303	崁腳	崁	96.10 	21.86 	538.18 	0.99 	10.48 	0.01 	87
30767	崁仔腳	崁	97.70 	125.18 	504.52 	0.71 	61.37 	0.02 	120
