FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
31705	?¤H§|	§|	63.0 	34.5 	0.0 	203.6 	75.6 	5.1 	53.7 	0.1 	0.0 	10.6 
31709	¥_¶Õ§|	§|	60.0 	69.8 	0.0 	224.7 	58.3 	8.5 	63.5 	0.1 	0.0 	23.8 
31710	¤¤§|	§|	68.0 	74.5 	0.0 	268.4 	53.3 	9.0 	68.1 	0.1 	0.0 	25.9 
31711	°¾§|¥J	§|	73.0 	76.9 	0.0 	309.5 	51.1 	9.5 	70.3 	0.1 	0.0 	26.9 
31712	«n¶Õ§|	§|	68.0 	74.5 	0.0 	268.4 	53.3 	9.0 	68.1 	0.1 	0.0 	25.9 
31713	¶ê¥J®ç§|	§|	64.0 	75.8 	0.0 	303.8 	52.3 	10.3 	72.1 	0.2 	0.0 	26.7 
31716	?§|	§|	64.0 	75.8 	0.0 	303.8 	52.3 	10.3 	72.1 	0.2 	0.0 	26.7 
31733	¦Ë¥J§|	§|	61.0 	47.1 	0.0 	205.2 	135.1 	6.8 	64.0 	0.1 	0.0 	13.3 
31780	¤û¨¤§|	§|	180.0 	60.8 	80.0 	473.8 	16.9 	15.3 	167.6 	0.2 	0.0 	45.1 
31811	¤¤§|	§|	114.0 	26.8 	322.5 	805.6 	43.7 	9.8 	108.9 	0.2 	0.0 	16.9 
32027	¬v§|­í	§|	3.0 	22.6 	0.0 	326.5 	50.2 	0.6 	4.7 	0.0 	0.0 	1.5 
32174	¤jÔ³§|	§|	209.0 	252.8 	56.6 	530.0 	41.9 	25.0 	200.1 	0.4 	0.0 	78.7 
32244	­W§|	§|	312.0 	596.8 	80.0 	601.8 	24.7 	21.4 	300.9 	0.3 	0.0 	128.3 
32353	¥_Ãä§|	§|	123.0 	321.8 	0.0 	199.0 	128.4 	15.9 	129.4 	0.3 	0.0 	33.1 
32354	¥_Ãä§|	§|	173.0 	92.6 	0.0 	487.4 	120.0 	17.7 	163.4 	0.3 	0.0 	66.6 
32405	¤U§B¤½§|	§|	137.0 	275.6 	0.0 	245.9 	195.2 	10.4 	163.8 	0.2 	0.0 	45.3 
32407	¤U§|§À	§|	18.0 	174.4 	40.0 	401.3 	11.7 	1.6 	38.9 	0.0 	0.0 	31.2 
32408	¤U§|³¡¸¨	§|	51.0 	85.9 	0.0 	460.4 	69.6 	3.4 	64.9 	0.1 	0.0 	52.0 
32445	§|¥J¤º	§|	112.0 	74.0 	665.7 	1089.0 	6.3 	10.7 	103.8 	0.2 	0.0 	73.6 
32448	Às§|	§|	35.0 	5.3 	40.0 	308.6 	7.9 	3.5 	33.0 	0.0 	0.0 	6.1 
32456	§|¥J¤º	§|	112.0 	74.0 	665.7 	1089.0 	6.3 	10.7 	103.8 	0.2 	0.0 	73.6 
32485	¬õ®ã§|	§|	107.0 	29.1 	0.0 	306.9 	47.6 	10.1 	108.0 	0.2 	0.0 	24.0 
32486	Âb·}§|	§|	29.0 	27.5 	40.0 	578.2 	30.6 	4.2 	38.0 	0.1 	0.0 	8.2 
32660	¥Ë?§|	§|	28.0 	30.7 	0.0 	254.2 	106.8 	4.1 	30.3 	0.1 	0.0 	3.9 
32669	¤ì¥Ê§|	§|	390.0 	848.7 	0.0 	184.7 	129.4 	27.2 	396.7 	0.5 	0.0 	118.7 
32718	ÃZ°s§|	§|	91.0 	88.0 	0.0 	359.7 	279.1 	10.8 	94.0 	0.2 	0.0 	30.5 
32744	¤G±×§|	§|	184.0 	280.3 	0.0 	192.8 	135.8 	24.2 	209.4 	0.4 	0.0 	69.1 
32776	¾ð±ö§|	§|	184.0 	98.0 	0.0 	192.5 	69.2 	14.2 	185.9 	0.2 	0.0 	58.7 
32779	°ª­í§|	§|	140.0 	30.7 	582.4 	964.8 	37.8 	8.5 	138.5 	0.1 	0.0 	27.1 
32856	¤p§|¥JÀY	§|	88.0 	162.9 	0.0 	450.5 	50.4 	12.1 	92.4 	0.2 	0.0 	51.9 
32865	¶³¼s§|	§|	93.0 	113.7 	0.0 	216.8 	77.9 	11.7 	90.7 	0.2 	0.0 	39.3 
32874	´¿¥J§|	§|	181.0 	99.5 	0.0 	236.6 	133.5 	17.4 	171.9 	0.3 	0.0 	40.9 
32887	­·ÀY§|	§|	204.0 	95.8 	0.0 	389.5 	50.9 	14.4 	202.8 	0.3 	0.0 	48.9 
32890	µ×ð[§|	§|	169.0 	129.1 	40.0 	482.6 	18.0 	19.1 	178.4 	0.3 	0.0 	76.8 
32894	¤E¤À§|	§|	100.0 	52.2 	0.0 	115.9 	719.5 	13.5 	99.1 	0.2 	0.0 	24.3 
32895	²Ê§|¥J	§|	108.0 	53.4 	0.0 	250.2 	2021.2 	15.2 	138.1 	0.2 	0.0 	38.2 
32910	¤U§|	§|	161.0 	120.9 	0.0 	301.1 	222.0 	18.4 	177.9 	0.3 	0.0 	45.4 
32919	¦Ë¼d§|	§|	190.0 	141.1 	506.0 	981.0 	30.3 	21.3 	211.0 	0.3 	0.0 	80.4 
32920	µf¥J§|	§|	144.0 	68.6 	0.0 	132.9 	1161.9 	12.7 	140.5 	0.2 	0.0 	30.3 
32925	¯È§|	§|	241.0 	128.6 	0.0 	296.3 	408.1 	17.7 	214.0 	0.3 	0.0 	68.4 
32929	¤U§|	§|	372.0 	311.2 	0.0 	257.9 	60.1 	31.0 	356.7 	0.6 	0.0 	106.6 
32930	¤¤§|	§|	259.0 	217.0 	0.0 	114.2 	216.4 	28.1 	284.5 	0.5 	0.0 	63.8 
32933	®Æ¨¤§|	§|	146.0 	388.8 	0.0 	152.4 	929.7 	20.3 	152.6 	0.3 	0.0 	43.8 
32934	ÃÃ¼d§|	§|	226.0 	488.1 	0.0 	551.7 	41.6 	23.0 	260.4 	0.4 	0.0 	80.0 
32940	«n¶Õ§|	§|	194.0 	490.1 	0.0 	168.3 	267.4 	26.3 	252.8 	0.4 	0.0 	65.8 
32947	¦Ë§|	§|	280.0 	227.5 	0.0 	235.7 	289.0 	24.5 	299.8 	0.4 	0.0 	90.6 
33034	¤p«n§|	§|	60.0 	44.6 	0.0 	188.7 	1761.7 	7.4 	70.4 	0.1 	0.0 	17.7 
33125	¥Ã©w§|	§|	210.0 	183.4 	0.0 	167.4 	620.1 	21.9 	255.9 	0.4 	0.0 	55.2 
33165	¤U®ö§|	§|	109.0 	454.1 	0.0 	425.9 	196.4 	15.0 	118.9 	0.2 	0.0 	43.8 
33193	¥~¥[¹D§|	§|	154.0 	526.6 	0.0 	101.9 	1904.2 	14.2 	170.0 	0.3 	0.0 	23.4 
33194	¤º¥[¹D§|	§|	216.0 	647.6 	329.9 	672.5 	30.6 	15.1 	295.2 	0.3 	0.0 	56.8 
33195	ÆQ¤g§|	§|	100.0 	558.1 	0.0 	172.8 	401.7 	13.4 	116.4 	0.2 	0.0 	33.6 
33207	µëÀs§|	§|	240.0 	615.0 	0.0 	188.5 	224.2 	21.9 	243.4 	0.4 	0.0 	71.7 
33208	¤õµH§|	§|	156.0 	627.4 	0.0 	212.0 	91.9 	16.5 	185.7 	0.3 	0.0 	42.7 
33237	ªü§N§|	§|	484.0 	525.7 	0.0 	191.5 	289.1 	26.5 	412.6 	0.6 	0.0 	88.3 
33238	¤­´×§|	§|	188.0 	380.7 	0.0 	143.4 	11756.2 	12.6 	210.6 	0.2 	0.0 	37.2 
33242	¬´§|¤l	§|	317.0 	564.9 	0.0 	446.7 	39.1 	27.3 	304.7 	0.5 	0.0 	138.1 
33246	¦Ë§|	§|	286.0 	517.6 	0.0 	434.4 	58.2 	25.1 	303.5 	0.4 	0.0 	81.6 
33248	²`§|¤l	§|	199.0 	406.7 	0.0 	150.7 	128.8 	20.4 	259.5 	0.3 	0.0 	54.2 
33273	µU¬}§|	§|	217.0 	320.2 	0.0 	159.5 	9345.7 	18.9 	230.3 	0.3 	0.0 	47.2 
33292	²Ê§|¤f	§|	164.0 	377.5 	0.0 	146.0 	960.9 	16.6 	215.3 	0.3 	0.0 	43.6 
33296	Àß¤l§|	§|	361.0 	726.1 	0.0 	319.0 	74.8 	22.6 	378.9 	0.4 	0.0 	105.2 
33305	²`§|	§|	217.0 	433.4 	0.0 	118.7 	1576.8 	21.0 	248.2 	0.4 	0.0 	49.1 
33323	ÆSÅÆ§|	§|	269.0 	547.0 	0.0 	218.2 	156.4 	27.8 	303.6 	0.5 	0.0 	92.7 
33346	°p§|	§|	304.0 	748.3 	253.0 	652.8 	8.4 	23.8 	325.1 	0.4 	77.0 	270.5 
33364	¦Ë§|	§|	75.0 	98.6 	178.9 	654.6 	15.0 	14.9 	78.3 	0.2 	1.0 	30.7 
33380	¦Ë¤l§|	§|	91.0 	108.6 	0.0 	492.6 	44.3 	12.8 	88.0 	0.2 	0.0 	25.7 
33381	¤j§|	§|	60.0 	60.6 	0.0 	186.8 	1692.0 	9.6 	62.9 	0.1 	0.0 	11.8 
33407	§|¤º	§|	61.0 	122.1 	160.0 	693.6 	50.2 	11.2 	65.6 	0.2 	0.0 	16.6 
33415	µÜ¥J§|	§|	127.0 	91.2 	0.0 	157.2 	1208.5 	8.6 	140.2 	0.1 	0.0 	15.6 
33422	ÀYªO§|	§|	39.0 	117.5 	204.0 	729.5 	34.0 	8.6 	47.5 	0.1 	0.0 	15.9 
33423	ÃÃ§|	§|	53.0 	113.5 	0.0 	306.3 	30.4 	8.2 	53.8 	0.1 	0.0 	17.1 
33425	§|¤f	§|	65.0 	108.9 	0.0 	156.8 	801.3 	8.7 	61.4 	0.1 	0.0 	13.5 
33430	¥Û§|	§|	219.0 	253.0 	920.0 	1259.5 	8.6 	22.9 	230.5 	0.4 	45.0 	141.7 
33446	µæ¤½§|	§|	32.0 	65.2 	0.0 	99.8 	205.4 	7.0 	35.3 	0.1 	0.0 	6.0 
33469	ª¯«Ë§|	§|	100.0 	167.7 	89.4 	587.5 	27.1 	15.2 	94.2 	0.2 	0.0 	33.5 
33473	¦Ê¤G§|	§|	99.0 	162.4 	0.0 	148.3 	331.1 	8.9 	115.6 	0.1 	0.0 	18.6 
33475	«n¶Õ§|	§|	55.0 	109.3 	0.0 	100.1 	856.7 	6.9 	59.2 	0.1 	0.0 	10.4 
33479	Às¥J§|	§|	88.0 	84.2 	0.0 	281.1 	825.6 	14.5 	87.6 	0.2 	0.0 	46.9 
33511	¤ì¥Ê§|	§|	202.0 	290.8 	512.3 	994.6 	25.1 	18.4 	233.2 	0.3 	4.0 	76.4 
